grammar,size,diversity_index
balanced,100,0.875
balanced,300,0.9583333333333334
balanced,500,0.9166666666666667
high,100,0.7916666666666667
high,300,0.875
high,500,0.9583333333333334
loose,100,1.0
loose,300,0.9583333333333334
loose,500,1.0
