strategy_name,query_id,query_type,max_score,min_score,mean_score,std_dev,top_1_delta,top_doc_id
static_weighted_rrf,complex_01_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.005818414322250639,0.00995988323269523,0.0047837106325960945,0.00026441036488630484,session_004
standard_unweighted_rrf,complex_01_cg,Complexity Type 1 (Relevant),0.04918032786885246,0.02919863597612958,0.03699531801266992,0.008392970657317669,0.0007932310946589111,session_004
dynamic_query_aware_rrf,complex_01_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.0058290707587382775,0.00995988323269523,0.004794364198993612,0.00026441036488630484,session_004
dynamic_query_aware_score_fusion,complex_01_cg,Complexity Type 1 (Relevant),0.6772731173383297,0.32255489198366794,0.40945792631308703,0.11327062968849096,0.12368730712990939,session_004
static_weighted_rrf,complex_02_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.014733644032800424,0.015296634468633396,0.0005254198635306382,0.00026441036488630484,session_004
standard_unweighted_rrf,complex_02_cg,Complexity Type 1 (Relevant),0.04918032786885246,0.04419642857142857,0.04588990340590019,0.001568040418299446,0.0007932310946589111,session_004
dynamic_query_aware_rrf,complex_02_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.014722336931941086,0.015296634468633396,0.0005255887610933779,0.00026441036488630484,session_004
dynamic_query_aware_score_fusion,complex_02_cg,Complexity Type 1 (Relevant),0.8107365269167764,0.45723782136708346,0.5608458975563912,0.11489847191505917,0.09549546887718985,session_004
static_weighted_rrf,complex_03_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.014733644032800424,0.015296634468633396,0.0005254198635306382,0.00026441036488630484,session_004
standard_unweighted_rrf,complex_03_cg,Complexity Type 1 (Relevant),0.04918032786885246,0.04419642857142857,0.04588990340590019,0.001568040418299446,0.0007932310946589111,session_004
dynamic_query_aware_rrf,complex_03_cg,Complexity Type 1 (Relevant),0.01639344262295082,0.014722336931941086,0.015296634468633396,0.0005255887610933779,0.00026441036488630484,session_004
dynamic_query_aware_score_fusion,complex_03_cg,Complexity Type 1 (Relevant),0.9520009086676073,0.5941767057807017,0.7005311659379132,0.11720729367325994,0.0958599446519417,session_004
static_weighted_rrf,complex_21_mix,Complexity Type 2 (Relevant),0.01605474553650122,0.0059482001755926245,0.012687573452922766,0.0043612762350406535,7.695988129621453e-05,session_003
standard_unweighted_rrf,complex_21_mix,Complexity Type 2 (Relevant),0.04839549075403121,0.029631255487269532,0.041541468379715805,0.007738433179110442,0.0010088272383354385,session_003
dynamic_query_aware_rrf,complex_21_mix,Complexity Type 2 (Relevant),0.016041525018256904,0.0059372256365232655,0.012687573452922766,0.004386309419459515,8.815938747191998e-05,session_003
dynamic_query_aware_score_fusion,complex_21_mix,Complexity Type 2 (Relevant),0.5872131238701933,0.2992502459685007,0.4801099985865441,0.12629962201515169,0.0010767445001153009,session_003
static_weighted_rrf,complex_22_mix,Complexity Type 2 (Relevant),0.016086065573770493,0.006287985039738195,0.013569926394099235,0.003642313427459615,0.0004317199194248389,session_003
standard_unweighted_rrf,complex_22_mix,Complexity Type 2 (Relevant),0.047643442622950824,0.030621785881252923,0.043012056615009925,0.0062233420631826845,0.0012200536156065922,session_003
dynamic_query_aware_rrf,complex_22_mix,Complexity Type 2 (Relevant),0.016086065573770493,0.006206171107994389,0.013569926394099235,0.0036869376408407103,0.00044337493107985196,session_003
dynamic_query_aware_score_fusion,complex_22_mix,Complexity Type 2 (Relevant),0.782722497245928,0.32758997623588815,0.6160398506264475,0.17340518193465587,0.001666425818084405,session_003
static_weighted_rrf,complex_23_mix,Complexity Type 2 (Relevant),0.01594402011922504,0.014727831431079894,0.015296634468633396,0.00040635326658481426,0.00011984429504921859,session_003
standard_unweighted_rrf,complex_23_mix,Complexity Type 2 (Relevant),0.047169957774465976,0.04433713784021071,0.0458899034059002,0.0010171572444197098,3.931064381884619e-05,session_003
dynamic_query_aware_rrf,complex_23_mix,Complexity Type 2 (Relevant),0.01596769436164928,0.014738805970149253,0.015296634468633396,0.0004147419021972993,0.00016793856189348255,session_003
dynamic_query_aware_score_fusion,complex_23_mix,Complexity Type 2 (Relevant),0.9378149026912089,0.45870584786523855,0.7621892885110764,0.1828712854276203,0.0008257045669243235,session_003
