grammar,size,completeness_gain,c_resp,c_base,k_size
balanced,50,0.7708,0.9167,0.2500,3.0000
balanced,100,0.7083,0.7500,0.1944,3.0000
balanced,200,0.4583,0.5833,0.3055,3.0000
loose,50,0.7500,0.8333,0.1944,3.0000
loose,100,0.5208,0.5833,0.2500,3.0000
loose,200,0.6667,0.6667,0.1666,3.0000
