query_type,max_score_mean,max_score_std,max_score_min,max_score_max,min_score_mean,min_score_std,min_score_min,min_score_max,mean_score_mean,mean_score_std,mean_score_min,mean_score_max,std_dev_mean,std_dev_std,std_dev_min,std_dev_max,q25_mean,q25_std,q25_min,q25_max,median_mean,median_std,median_min,median_max,q75_mean,q75_std,q75_min,q75_max,top_1_delta_mean,top_1_delta_std,top_1_delta_min,top_1_delta_max
Complexity Type 1 (Relevant),0.8570564985275269,0.005317080780400031,0.8539866805076599,0.8631961345672607,0.8113276362419128,0.0022896184212125876,0.8100057244300842,0.8139714598655701,0.822300883134206,0.0044979711151024076,0.8197039783000946,0.8274946928024292,0.013774242767128434,0.0007680320643113695,0.013330819248052,0.0146610898052813,0.8142912040154139,0.005016726231141848,0.8113947957754135,0.8200840204954147,0.8171941538651785,0.003751351923912515,0.8150283098220825,0.8215258419513702,0.8198308249314626,0.004525897067980846,0.8172177970409393,0.8250568807125092,0.017957965532938634,0.0018591492350679476,0.0158112049102783,0.0190313458442688
Complexity Type 2 (Relevant),0.8100480884313583,0.0034382210624957924,0.8049653172492981,0.8125661611557007,0.7948533445596695,0.00387959196808443,0.7902449369430542,0.798064649105072,0.8023048102855682,0.0033176066934453873,0.7973797738552093,0.8042827010154724,0.00490876402634775,0.0010925820912891313,0.0042268802517182,0.0065183721539521,0.7981274612247944,0.0030316934861094246,0.7942162901163101,0.800524890422821,0.8027661815285683,0.004097679545978806,0.7967590987682343,0.8059958815574646,0.8057656399905682,0.0033525289372323378,0.8007866442203522,0.8080908805131912,0.001885443925857475,0.0011033339448901192,0.0009427666664123,0.003482162952423
Out-of-Scope (Informational),0.7570975621541342,0.029319584812442245,0.7232446670532227,0.774376392364502,0.7422528068224589,0.028007185713063744,0.7116345167160034,0.766578197479248,0.7495907922585805,0.028591470066379705,0.7171314120292663,0.7710419416427612,0.0050464027263841,0.003154532007499492,0.0026700297088289,0.0086253444813999,0.7457703699668249,0.02870653869370307,0.7139380425214767,0.7696923166513443,0.7486002445220947,0.028496663884120314,0.7166958451271057,0.7715268135070801,0.7541592170794805,0.02982074621493795,0.7197921723127365,0.7732019275426865,0.0014014244079589334,0.0014944129600199137,0.0003414154052734,0.003110647201538
Out-of-Scope (Other Sport),0.7996429403622946,0.013257463178879337,0.7866846323013306,0.8131805658340454,0.7829739848772684,0.010884993474045692,0.7712985277175903,0.7928423285484314,0.79114315311114,0.011651467575654063,0.7795899331569671,0.8028904438018799,0.004878356736414601,0.0012227123670222218,0.0038332548726872,0.0062230068735414,0.78826375802358,0.010328561966689681,0.7783975005149841,0.7989996373653412,0.7898380060990652,0.010993919460959208,0.778837114572525,0.8008249402046204,0.7945478210846583,0.013294404315010683,0.7818795442581177,0.8083904385566711,0.0026769638061523,0.0015952007896050595,0.0008371472358703,0.0036741495132446
Random (non-Relevant),0.7161427438259125,0.010261387936867672,0.7019016742706299,0.7278873324394226,0.703694095214208,0.00910536900920526,0.692713737487793,0.7140624523162842,0.7098317990700403,0.009360907016279433,0.6972232043743134,0.7214834213256835,0.0037537527962918497,0.001106791285075012,0.0021849147711947,0.0048873525086013,0.7071548625826836,0.008752713011130285,0.6967278867959976,0.7182897627353668,0.70929982761542,0.008942280175325758,0.6968512237071991,0.7204035818576813,0.712478019297123,0.01029372919155514,0.6976208984851837,0.7256722301244736,0.0018241107463836167,0.0012529573485486963,0.0003074407577514,0.0038052201271057
Relevant (Other Duration),0.8363264997800192,0.003428235782850513,0.8328881859779358,0.8397445678710938,0.8192330400149027,0.0009331965120204152,0.8182383179664612,0.8200892210006714,0.8280611912409465,0.0006818710408034093,0.8272738873958587,0.8284627556800842,0.005134163348116966,0.0008902249490811546,0.0042117161374619,0.0059882212921072,0.8256788651148478,0.00042237643482807987,0.8252171277999878,0.8260457515716553,0.8275871276855469,0.00030450106488260785,0.8272360861301422,0.8277799189090729,0.8306052535772324,0.001163016163952802,0.8297929167747498,0.8319375365972519,0.0010351936022440333,0.0006052305242126471,0.0003904104232788,0.0015910267829895
Relevant (Outside Corpus),0.8103800654411316,0.03316866487598812,0.7651575803756714,0.8402895927429199,0.7941874742507935,0.032789152930024115,0.749731183052063,0.8256402015686035,0.8036056053638457,0.03370282807820072,0.757456248998642,0.8348376035690308,0.00481308588431828,0.0017798924745487691,0.0037913991430001,0.0079657638332659,0.8007575094699859,0.033725360419080745,0.7560827285051346,0.8332923054695129,0.8035095274448395,0.03423943369483581,0.7566978335380554,0.8348746597766876,0.807479465007782,0.03364261751513889,0.759844183921814,0.8374810516834259,0.00175220966339108,0.0013913798296334497,0.0001243948936462,0.0033805966377258
Relevant (Single Shotside),0.8536631166934967,0.010216353932192203,0.8464390635490417,0.8608871698379517,0.8185040056705475,0.010314218914434499,0.8112107515335083,0.8257972598075867,0.8316458731889724,0.010251879510802012,0.8243966996669769,0.838895046710968,0.0118620400773177,6.630602796217744e-05,0.0118151546353121,0.0119089255193233,0.821927860379219,0.01299526424190949,0.8127388209104538,0.8311168998479843,0.8285562098026276,0.008703450658045151,0.8224019408226013,0.8347104787826538,0.8392832800745964,0.007982160029341838,0.8336390405893326,0.8449275195598602,0.005488246679306,0.003762322726021981,0.0028278827667236,0.0081486105918884
Vague But Relevant,0.8198846817016602,0.017083809937391004,0.8106594085693359,0.8503296971321106,0.7926193475723267,0.01074972796715127,0.7741491198539734,0.8012151718139648,0.8043548941612244,0.009598937672408422,0.7891330778598785,0.8155417025089264,0.00842694260572254,0.0058544142446837625,0.0039901689695523,0.0178669384330963,0.7998160004615784,0.009315987070216606,0.7836923450231552,0.8068947494029999,0.8022798895835876,0.00906518361935979,0.7869186699390411,0.8110328316688538,0.8069520860910415,0.010689821035154819,0.7887803912162781,0.8170902729034424,0.0022860646247863403,0.002460936803022071,0.0001833438873291,0.0051014423370361
