grammar_profile,library_coverage_percent,unique_variants_used,total_variants_defined,variant_entropy_bits,avg_families_per_session,std_families_per_session,archetype_distribution,structure_distribution,transition_entropy_bits,adherence_rates_percent,avg_progression_score
loose_grammar,66.66666666666666,8,12,2.9389468471969735,1.736,0.44079927404658914,"{""Progressive Family Only"": 107, ""Progressive Single ShotSide"": 117, ""Dynamic Block Session"": 112, ""Drill Only"": 71, ""Conditioned Games Only"": 93}","{""structure_60min_5blocks"": 107, ""structure_60min_6blocks"": 77, ""structure_45min_4blocks_cg"": 88, ""structure_45min_3blocks_cg"": 44, ""structure_45min_6blocks"": 37, ""structure_45min_5blocks"": 85, ""structure_60min_4blocks_cg"": 62}",1.8989909413343127,"{""Single Family Adherence"": 100.0, ""Single Side Adherence"": 100.0, ""Drill Only Adherence"": 100.0, ""Conditioned Games Only Adherence"": 100.0}",0.6652444444444444
balanced_grammar,72.72727272727273,8,11,2.954810474579185,1.73,0.4439594576084623,"{""Dynamic Block Session"": 105, ""Conditioned Games Only"": 83, ""Progressive Family Only"": 104, ""Progressive Single ShotSide"": 128, ""Drill Only"": 80}","{""structure_60min_5blocks"": 131, ""structure_60min_5blocks_cg"": 18, ""structure_60min_6blocks"": 118, ""structure_45min_5blocks"": 83, ""structure_45min_6blocks"": 85, ""structure_60min_4blocks_cg"": 35, ""structure_45min_4blocks_cg"": 8, ""structure_45min_3blocks_cg"": 22}",1.8784993659016156,"{""Conditioned Games Only Adherence"": 100.0, ""Single Family Adherence"": 100.0, ""Single Side Adherence"": 100.0, ""Drill Only Adherence"": 100.0}",0.6984063492063493
high_constraint_grammar,36.84210526315789,14,38,3.5969335739558055,1.81,0.3923009049186606,"{""Progressive Single ShotSide"": 107, ""Drill Only (High-Constraint)"": 167, ""Conditioned Games Only"": 82, ""Dynamic Block Session (High Constraint)"": 109, ""Progressive Family Only (High-Constraint)"": 35}","{""structure_45min_5blocks"": 39, ""structure_45min_6blocks"": 168, ""structure_60min_6blocks"": 105, ""structure_60min_4blocks_cg"": 53, ""structure_45min_3blocks_cg"": 22, ""structure_60min_5blocks"": 106, ""structure_60min_5blocks_cg"": 7}",1.6284472831028012,"{""Single Side Adherence"": 100.0, ""Drill Only Adherence"": 100.0, ""Conditioned Games Only Adherence"": 100.0, ""Single Family Adherence"": 100.0}",0.7004571428571428
