grammar_profile,library_coverage_percent,unique_variants_used,total_variants_defined,variant_entropy_bits,avg_families_per_session,std_families_per_session,archetype_distribution,structure_distribution,transition_entropy_bits,adherence_rates_percent,avg_progression_score
loose_grammar,75.0,9,12,3.1621900048488913,1.76,0.4270831300812525,"{""Progressive Family Only"": 39, ""Progressive Single ShotSide"": 38, ""Dynamic Block Session"": 48, ""Drill Only"": 30, ""Conditioned Games Only"": 45}","{""structure_60min_5blocks"": 43, ""structure_60min_6blocks"": 31, ""structure_45min_4blocks_cg"": 34, ""structure_45min_3blocks_cg"": 18, ""structure_45min_6blocks"": 15, ""structure_45min_5blocks"": 31, ""structure_60min_4blocks_cg"": 28}",1.9053839556564567,"{""Single Family Adherence"": 100.0, ""Single Side Adherence"": 100.0, ""Drill Only Adherence"": 100.0, ""Conditioned Games Only Adherence"": 100.0}",0.7216984126984126
balanced_grammar,75.0,9,12,3.163335049262865,1.74,0.4386342439892262,"{""Progressive Single ShotSide"": 48, ""Dynamic Block Session"": 46, ""Conditioned Games Only"": 46, ""Drill Only"": 29, ""Progressive Family Only"": 31}","{""structure_60min_6blocks"": 37, ""structure_45min_3blocks_cg"": 18, ""structure_45min_6blocks"": 31, ""structure_60min_5blocks"": 56, ""structure_60min_5blocks_cg"": 8, ""structure_45min_5blocks"": 30, ""structure_60min_4blocks_cg"": 16, ""structure_45min_4blocks_cg"": 4}",1.9146962133844874,"{""Single Side Adherence"": 100.0, ""Conditioned Games Only Adherence"": 100.0, ""Drill Only Adherence"": 100.0, ""Single Family Adherence"": 100.0}",0.7397777777777776
high_constraint_grammar,92.3076923076923,36,39,5.075629640011923,1.895,0.30655342111938666,"{""Drill Only (High-Constraint)"": 67, ""Progressive Single ShotSide"": 46, ""Conditioned Games Only"": 30, ""Progressive Family Only (High-Constraint)"": 16, ""Dynamic Block Session (High Constraint)"": 41}","{""structure_45min_6blocks"": 67, ""structure_60min_6blocks"": 45, ""structure_60min_4blocks_cg"": 23, ""structure_60min_5blocks"": 46, ""structure_45min_3blocks_cg"": 5, ""structure_45min_5blocks"": 12, ""structure_60min_5blocks_cg"": 2}",1.9771318630378538,"{""Drill Only Adherence"": 100.0, ""Single Side Adherence"": 100.0, ""Conditioned Games Only Adherence"": 100.0, ""Single Family Adherence"": 100.0}",0.7071428571428572
