grammar,size,diversity_index
balanced,50,0.875
balanced,100,0.9166666666666666
balanced,200,1.0
balanced,300,0.8333333333333334
balanced,500,1.0
high,50,0.9166666666666667
high,100,0.9583333333333334
high,200,0.9166666666666667
high,300,0.9166666666666667
high,500,0.9583333333333334
loose,50,0.9583333333333334
loose,100,0.9166666666666667
loose,200,0.9166666666666667
loose,300,0.9583333333333334
loose,500,0.9583333333333334
