grammar_profile,library_coverage_percent,unique_variants_used,total_variants_defined,variant_entropy_bits,avg_families_per_session,std_families_per_session,archetype_distribution,structure_distribution,transition_entropy_bits,adherence_rates_percent,avg_progression_score
loose_grammar,75.0,9,12,3.166235623796421,1.738,0.43972263985380605,"{""Progressive Family Only"": 106, ""Progressive Single ShotSide"": 118, ""Dynamic Block Session"": 112, ""Drill Only"": 71, ""Conditioned Games Only"": 93}","{""structure_60min_5blocks"": 106, ""structure_60min_6blocks"": 77, ""structure_45min_4blocks_cg"": 89, ""structure_45min_3blocks_cg"": 44, ""structure_45min_6blocks"": 37, ""structure_45min_5blocks"": 85, ""structure_60min_4blocks_cg"": 62}",1.8997304300042834,"{""Single Family Adherence"": 100.0, ""Single Side Adherence"": 100.0, ""Drill Only Adherence"": 100.0, ""Conditioned Games Only Adherence"": 100.0}",0.7121460317460316
balanced_grammar,75.0,9,12,3.168217042715814,1.798,0.4014922166119787,"{""Progressive Single ShotSide"": 117, ""Dynamic Block Session"": 113, ""Conditioned Games Only"": 101, ""Drill Only"": 112, ""Progressive Family Only"": 57}","{""structure_60min_6blocks"": 86, ""structure_45min_3blocks_cg"": 25, ""structure_45min_6blocks"": 114, ""structure_45min_5blocks"": 70, ""structure_60min_5blocks"": 129, ""structure_60min_5blocks_cg"": 11, ""structure_60min_4blocks_cg"": 52, ""structure_45min_4blocks_cg"": 13}",1.9084728972836584,"{""Single Side Adherence"": 100.0, ""Conditioned Games Only Adherence"": 100.0, ""Drill Only Adherence"": 100.0, ""Single Family Adherence"": 100.0}",0.7322793650793651
high_constraint_grammar,92.3076923076923,36,39,5.070994362056043,1.89,0.31288975694324034,"{""Drill Only (High-Constraint)"": 184, ""Dynamic Block Session (High Constraint)"": 103, ""Progressive Single ShotSide"": 94, ""Conditioned Games Only"": 85, ""Progressive Family Only (High-Constraint)"": 34}","{""structure_45min_6blocks"": 185, ""structure_45min_5blocks"": 47, ""structure_60min_6blocks"": 88, ""structure_60min_5blocks"": 95, ""structure_60min_4blocks_cg"": 64, ""structure_45min_3blocks_cg"": 17, ""structure_60min_5blocks_cg"": 4}",1.9639121643826953,"{""Drill Only Adherence"": 100.0, ""Single Side Adherence"": 100.0, ""Conditioned Games Only Adherence"": 100.0, ""Single Family Adherence"": 100.0}",0.6954539682539682
