grammar,size,avg_c_resp
balanced,100,0.6667
balanced,200,0.75
balanced,300,0.6667
balanced,500,0.75
high_constraint,100,0.9167
high_constraint,200,0.8333
high_constraint,300,0.6667
high_constraint,500,0.8333
loose,100,0.6667
loose,200,0.5833
loose,300,0.5
loose,500,0.6667
